,0,1,2,3,4,5,6,7,8,9,10,11,db,sc,sc_delta,key
Grace_Jones_Snippet_1|C3,0,18,41,26,19,30,34,50,1,50,31,30,-3.00,2675,-1132,Grace_Jones_Snippet_1|C3
Grace_Jones_Snippet_1|reference,100,47,50,53,50,50,50,93,32,50,50,50,0,3808,0,Grace_Jones_Snippet_1|reference
Grace_Jones_Snippet_1|C1,30,42,50,30,50,50,50,50,31,50,50,50,-1.00,3382,-425,Grace_Jones_Snippet_1|C1
Grace_Jones_Snippet_1|C2,50,50,66,40,50,50,50,50,51,50,50,50,-0.50,3589,-218,Grace_Jones_Snippet_1|C2
Classical_RichardStrauss_1|reference,50,50,50,48,50,50,50,50,50,50,50,50,0,2986,0,Classical_RichardStrauss_1|reference
Classical_RichardStrauss_1|C3,100,91,69,77,79,100,75,95,97,71,71,90,+4.000,4224,+1238,Classical_RichardStrauss_1|C3
Classical_RichardStrauss_1|C2,30,12,37,26,20,10,30,85,0,31,30,30,-3.00,2245,-741,Classical_RichardStrauss_1|C2
Classical_RichardStrauss_1|C1,70,50,28,50,50,50,50,50,69,50,50,50,+0.250,3058,+72,Classical_RichardStrauss_1|C1
Lofi_01_2|C3,70,50,50,57,50,50,51,50,71,50,50,51,+0.750,4045,+329,Lofi_01_2|C3
Lofi_01_2|reference,30,47,35,67,50,50,50,75,49,50,50,50,0,3716,0,Lofi_01_2|reference
Lofi_01_2|C1,10,20,30,37,33,10,30,31,0,50,31,31,-2.00,2933,-782,Lofi_01_2|C1
Lofi_01_2|C2,100,58,50,70,61,30,62,84,93,50,50,51,+2.000,4624,+909,Lofi_01_2|C2
Techno_Kaf_01_1|reference,50,49,68,43,50,30,50,67,52,50,50,49,0,2321,0,Techno_Kaf_01_1|reference
Techno_Kaf_01_1|C1,70,50,50,63,50,50,50,50,70,50,50,50,+0.250,2404,+83,Techno_Kaf_01_1|C1
Techno_Kaf_01_1|C2,100,60,63,79,50,70,79,78,100,68,60,70,+2.000,3057,+736,Techno_Kaf_01_1|C2
Techno_Kaf_01_1|C3,0,39,31,33,50,30,37,60,30,50,39,50,-1.00,2013,-308,Techno_Kaf_01_1|C3
HerbieHancock_Snippet_2|C3,100,50,50,43,50,10,50,83,97,50,65,50,+0.500,5654,+312,HerbieHancock_Snippet_2|C3
HerbieHancock_Snippet_2|reference,30,50,50,59,50,50,50,50,50,52,61,50,0,5342,0,HerbieHancock_Snippet_2|reference
HerbieHancock_Snippet_2|C1,70,44,73,69,50,30,50,50,68,50,55,51,+0.250,5497,+155,HerbieHancock_Snippet_2|C1
HerbieHancock_Snippet_2|C2,0,40,35,39,50,10,50,71,29,50,38,50,-1.00,4747,-595,HerbieHancock_Snippet_2|C2
Techno_PolarInertia_2|C3,0,40,29,50,50,50,50,56,29,50,50,50,-0.25,5327,-153,Techno_PolarInertia_2|C3
Techno_PolarInertia_2|C2,70,63,71,66,56,70,66,69,71,70,59,70,+1.000,6103,+622,Techno_PolarInertia_2|C2
Techno_PolarInertia_2|C1,100,81,70,85,79,100,91,50,100,91,67,90,+4.000,7912,+2432,Techno_PolarInertia_2|C1
Techno_PolarInertia_2|reference,30,43,50,50,50,50,50,50,50,50,50,50,0,5481,0,Techno_PolarInertia_2|reference
Classical_GustavHolst_03_1|C3,100,70,71,79,81,100,87,50,100,93,79,90,+4.000,2878,+929,Classical_GustavHolst_03_1|C3
Classical_GustavHolst_03_1|reference,30,37,50,34,50,50,50,50,47,50,50,50,0,1949,0,Classical_GustavHolst_03_1|reference
Classical_GustavHolst_03_1|C1,50,49,50,50,50,50,50,76,69,50,50,50,+0.250,2001,+52,Classical_GustavHolst_03_1|C1
Classical_GustavHolst_03_1|C2,70,61,71,64,62,70,67,71,72,70,59,70,+2.000,2393,+444,Classical_GustavHolst_03_1|C2
Classical_GustavHolst_01_2|C2,0,36,50,50,50,50,33,50,28,50,39,50,-0.75,1036,-74,Classical_GustavHolst_01_2|C2
Classical_GustavHolst_01_2|C3,70,60,67,64,50,50,50,50,69,50,50,50,+0.500,1164,+54,Classical_GustavHolst_01_2|C3
Classical_GustavHolst_01_2|reference,30,44,50,64,50,30,50,89,50,50,50,50,0,1110,0,Classical_GustavHolst_01_2|reference
Classical_GustavHolst_01_2|C1,100,83,73,76,77,70,68,71,100,70,72,70,+3.000,1498,+388,Classical_GustavHolst_01_2|C1
Grace_Jones_Snippet_2|reference,50,57,50,50,50,50,50,50,50,50,50,50,0,3808,0,Grace_Jones_Snippet_2|reference
Grace_Jones_Snippet_2|C2,100,68,68,86,86,90,67,80,100,70,70,70,+4.000,5859,+2052,Grace_Jones_Snippet_2|C2
Grace_Jones_Snippet_2|C1,70,50,50,68,50,50,50,60,69,50,50,50,+0.500,4037,+229,Grace_Jones_Snippet_2|C1
Grace_Jones_Snippet_2|C3,30,36,31,34,50,30,33,50,30,26,29,50,-2.00,3005,-803,Grace_Jones_Snippet_2|C3
Classical_RichardStrauss_2|C2,10,37,29,35,50,30,33,75,26,50,32,30,-1.00,2713,-273,Classical_RichardStrauss_2|C2
Classical_RichardStrauss_2|C3,70,64,65,72,68,70,67,64,69,73,69,70,+1.000,3280,+294,Classical_RichardStrauss_2|C3
Classical_RichardStrauss_2|C1,100,79,49,70,81,90,67,50,100,91,79,90,+2.000,3590,+604,Classical_RichardStrauss_2|C1
Classical_RichardStrauss_2|reference,50,50,50,50,50,50,50,50,50,72,50,50,0,2986,0,Classical_RichardStrauss_2|reference
Lofi_01_1|C1,70,50,50,50,50,50,59,72,71,50,32,70,+1.000,4158,+443,Lofi_01_1|C1
Lofi_01_1|reference,50,50,33,50,50,50,50,61,50,50,50,50,0,3716,0,Lofi_01_1|reference
Lofi_01_1|C3,100,83,67,86,80,10,82,50,99,68,75,90,+4.000,5580,+1865,Lofi_01_1|C3
Lofi_01_1|C2,30,37,52,34,50,50,38,50,31,50,50,50,-0.50,3506,-210,Lofi_01_1|C2
Techno_Kaf_01_2|C1,50,39,50,33,50,50,34,50,30,50,50,50,-0.50,2162,-159,Techno_Kaf_01_2|C1
Techno_Kaf_01_2|reference,30,50,48,66,50,50,50,58,50,50,50,50,0,2321,0,Techno_Kaf_01_2|reference
Techno_Kaf_01_2|C2,0,24,29,20,37,30,14,29,0,28,30,30,-3.00,1518,-803,Techno_Kaf_01_2|C2
Techno_Kaf_01_2|C3,100,50,50,78,50,50,66,70,71,69,63,70,+0.750,2579,+258,Techno_Kaf_01_2|C3
HerbieHancock_Snippet_1|C1,30,40,30,36,35,10,33,50,28,31,32,50,-2.00,4199,-1143,HerbieHancock_Snippet_1|C1
HerbieHancock_Snippet_1|reference,50,50,33,50,50,50,50,75,50,50,45,50,0,5342,0,HerbieHancock_Snippet_1|reference
HerbieHancock_Snippet_1|C3,0,26,10,16,25,1,14,27,0,24,21,30,-4.00,3272,-2070,HerbieHancock_Snippet_1|C3
HerbieHancock_Snippet_1|C2,100,80,67,68,83,29,87,90,100,72,71,70,+3.000,7286,+1943,HerbieHancock_Snippet_1|C2
Classical_GustavHolst_03_2|C1,30,37,30,34,42,50,45,50,29,50,50,50,-0.50,1848,-100,Classical_GustavHolst_03_2|C1
Classical_GustavHolst_03_2|reference,70,50,50,50,50,50,50,59,50,50,50,50,0,1949,0,Classical_GustavHolst_03_2|reference
Classical_GustavHolst_03_2|C3,0,39,33,28,42,30,34,36,0,50,36,30,-1.00,1753,-196,Classical_GustavHolst_03_2|C3
Classical_GustavHolst_03_2|C2,100,72,71,73,76,90,87,72,100,73,79,90,+3.000,2633,+684,Classical_GustavHolst_03_2|C2
Techno_PolarInertia_1|C3,0,25,29,27,42,30,14,39,0,31,34,10,-2.00,4302,-1179,Techno_PolarInertia_1|C3
Techno_PolarInertia_1|C2,30,37,50,33,50,50,34,50,29,50,50,30,-0.75,5024,-456,Techno_PolarInertia_1|C2
Techno_PolarInertia_1|reference,50,50,50,58,50,50,50,50,49,50,50,50,0,5481,0,Techno_PolarInertia_1|reference
Techno_PolarInertia_1|C1,100,50,50,63,50,50,50,65,70,50,71,50,+0.250,5635,+155,Techno_PolarInertia_1|C1
Classical_GustavHolst_01_1|reference,50,50,50,50,50,50,50,48,50,50,50,50,0,1110,0,Classical_GustavHolst_01_1|reference
Classical_GustavHolst_01_1|C1,30,36,27,34,37,50,33,32,30,29,32,30,-2.00,933,-177,Classical_GustavHolst_01_1|C1
Classical_GustavHolst_01_1|C2,100,69,50,65,70,70,67,66,100,72,50,50,+1.000,1222,+112,Classical_GustavHolst_01_1|C2
Classical_GustavHolst_01_1|C3,0,30,32,20,33,30,13,30,0,12,18,10,-4.00,809,-301,Classical_GustavHolst_01_1|C3
